trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-108.51395081115217,"{0: 11, 1: 2, 2: 3, 3: 4, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-71.8312721842828,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,1,-113.77055916997364,"{0: 14, 1: 5, 2: 3, 3: 0, 4: 2}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-84.36273995729555,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-189.83517739257064,"{0: 18, 1: 1, 2: 7, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-55.434478434264975,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-17.132076780026694,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-26.882720648592755,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-39.06149058725933,"{0: 19, 1: 4, 2: 0, 3: 2, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-66.88447609609159,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,6,-10.773256576374546,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-23.467563563900068,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,16,8.136313873173837,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",35,11,-74.92836997459901,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 2}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-98.17443327417946,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,0,-63.7136201476974,"{0: 26, 1: 1, 2: 1, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-88.44559781225082,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,1,16.50303391858904,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-43.089000074227826,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,15,19.34832220533187,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,13,21.00854125116954,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,15,19.430660063308146,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,13,-25.707543702278443,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
4,True,"{'a': 0, 'e': 0}",30,18,-64.12798751236201,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 2}",1
5,True,"{'a': 0, 'e': 0}",35,0,-78.32498423537503,"{0: 32, 1: 0, 2: 0, 3: 0, 4: 3}",0
6,True,"{'a': 0, 'e': 0}",20,13,14.013511868236765,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,16,-25.915512471255283,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
8,True,"{'a': 0, 'e': 0}",25,0,-24.905636940210535,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",25,0,-38.27828967405774,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",25,12,12.316974099676575,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
