trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.75, 'e': 0.9999927726398616}",30,0,-210.9969723419542,"{0: 18, 1: 1, 2: 6, 3: 2, 4: 3}",0
2,False,"{'a': 0.75, 'e': 0.9999837384641739}",20,0,-64.07465966264425,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.75, 'e': 0.9999710906639162}",25,0,-80.61567984911656,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
4,False,"{'a': 0.75, 'e': 0.9999548292847938}",25,0,-131.67451197728445,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 3}",0
5,False,"{'a': 0.75, 'e': 0.9999349543855705}",20,0,-30.08979124286993,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",1
6,False,"{'a': 0.75, 'e': 0.9999114660380674}",20,0,-145.7081632606662,"{0: 9, 1: 5, 2: 3, 3: 1, 4: 2}",0
7,False,"{'a': 0.75, 'e': 0.9998843643271642}",25,0,-151.63929717882684,"{0: 11, 1: 4, 2: 8, 3: 1, 4: 1}",0
8,False,"{'a': 0.75, 'e': 0.9998536493507978}",30,0,-179.06012406810964,"{0: 15, 1: 2, 2: 10, 3: 2, 4: 1}",0
9,False,"{'a': 0.75, 'e': 0.9998193212199625}",25,0,-105.82337902792426,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
10,False,"{'a': 0.75, 'e': 0.9997813800587094}",30,0,-221.96864325341085,"{0: 9, 1: 6, 2: 12, 3: 2, 4: 1}",0
11,False,"{'a': 0.75, 'e': 0.9997398260041456}",25,0,-52.01444258915239,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
12,False,"{'a': 0.75, 'e': 0.9996946592064344}",35,0,-167.98831278793298,"{0: 21, 1: 1, 2: 11, 3: 0, 4: 2}",1
13,False,"{'a': 0.75, 'e': 0.9996458798287943}",30,0,-153.18860776579209,"{0: 18, 1: 1, 2: 9, 3: 0, 4: 2}",0
14,False,"{'a': 0.75, 'e': 0.9995934880474985}",30,0,-167.31263460613027,"{0: 18, 1: 2, 2: 6, 3: 2, 4: 2}",0
15,False,"{'a': 0.75, 'e': 0.9995374840518744}",20,0,-108.90583117109277,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
16,False,"{'a': 0.75, 'e': 0.9994778680443025}",25,0,-137.70512277365123,"{0: 15, 1: 0, 2: 8, 3: 0, 4: 2}",0
17,False,"{'a': 0.75, 'e': 0.9994146402402164}",20,0,-136.3982620945713,"{0: 10, 1: 0, 2: 7, 3: 2, 4: 1}",0
18,False,"{'a': 0.75, 'e': 0.9993478008681013}",25,0,-134.01250885132157,"{0: 12, 1: 4, 2: 7, 3: 1, 4: 1}",0
19,False,"{'a': 0.75, 'e': 0.9992773501694934}",25,0,-61.37019150856385,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
20,False,"{'a': 0.75, 'e': 0.9992032883989794}",25,0,-143.44830014032618,"{0: 13, 1: 2, 2: 7, 3: 2, 4: 1}",0
21,False,"{'a': 0.75, 'e': 0.9991256158241949}",25,0,-81.59045364856529,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
22,False,"{'a': 0.75, 'e': 0.9990443327258242}",20,0,-94.48141211567528,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
23,False,"{'a': 0.75, 'e': 0.9989594393975986}",35,0,-169.5343748773882,"{0: 20, 1: 3, 2: 8, 3: 3, 4: 1}",0
24,False,"{'a': 0.75, 'e': 0.9988709361462955}",20,0,-210.01468432684425,"{0: 6, 1: 5, 2: 3, 3: 4, 4: 2}",0
25,False,"{'a': 0.75, 'e': 0.9987788232917378}",20,0,-283.4169503626456,"{0: 7, 1: 2, 2: 4, 3: 2, 4: 5}",0
26,False,"{'a': 0.75, 'e': 0.9986831011667924}",25,0,-168.02368876472514,"{0: 14, 1: 4, 2: 4, 3: 0, 4: 3}",0
27,False,"{'a': 0.75, 'e': 0.9985837701173683}",20,0,-241.52027607664712,"{0: 7, 1: 2, 2: 6, 3: 1, 4: 4}",0
28,False,"{'a': 0.75, 'e': 0.9984808305024168}",25,0,-54.85978703891552,"{0: 15, 1: 5, 2: 5, 3: 0, 4: 0}",0
29,False,"{'a': 0.75, 'e': 0.9983742826939289}",30,0,-120.50335051620205,"{0: 20, 1: 2, 2: 4, 3: 3, 4: 1}",0
30,False,"{'a': 0.75, 'e': 0.9982641270769348}",25,0,-285.6235605045114,"{0: 12, 1: 0, 2: 6, 3: 2, 4: 5}",0
31,False,"{'a': 0.75, 'e': 0.9981503640495019}",25,0,-186.34051338480285,"{0: 15, 1: 0, 2: 6, 3: 1, 4: 3}",0
32,False,"{'a': 0.75, 'e': 0.9980329940227336}",20,9,3.8448403568483656,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
