trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.75, 'e': 0.9828788730000322}",20,12,4.552869318606122,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
2,False,"{'a': 0.75, 'e': 0.9744285500754779}",20,0,-80.31080615347592,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
3,False,"{'a': 0.75, 'e': 0.9660508789898133}",25,11,-77.86474385852341,"{0: 8, 1: 1, 2: 4, 3: 0, 4: 1}",1
4,False,"{'a': 0.75, 'e': 0.9577452351172412}",25,0,-93.92614577536577,"{0: 14, 1: 4, 2: 5, 3: 2, 4: 0}",0
5,False,"{'a': 0.75, 'e': 0.9495109992021982}",20,2,-74.20572943630519,"{0: 11, 1: 4, 2: 1, 3: 1, 4: 1}",1
6,False,"{'a': 0.75, 'e': 0.9413475573131849}",25,0,-100.94364390055809,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
7,False,"{'a': 0.75, 'e': 0.933254300796991}",20,0,-32.74300998405047,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
8,False,"{'a': 0.75, 'e': 0.9252306262333163}",25,0,-57.7187245271252,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
9,False,"{'a': 0.75, 'e': 0.9172759353897796}",25,0,-142.08500290485367,"{0: 11, 1: 5, 2: 7, 3: 1, 4: 1}",0
10,False,"{'a': 0.75, 'e': 0.909389635177316}",25,0,-37.07357153297557,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
11,False,"{'a': 0.75, 'e': 0.9015711376059569}",30,0,-82.65342492264833,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 1}",0
12,False,"{'a': 0.75, 'e': 0.8938198597409907}",20,0,-78.46313000619759,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.75, 'e': 0.8861352236594998}",35,0,-225.53620945080755,"{0: 16, 1: 4, 2: 11, 3: 2, 4: 2}",0
14,False,"{'a': 0.75, 'e': 0.8785166564072717}",30,0,-130.18673919799457,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
