trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.75, 'e': 0.9962623371738993}",20,0,-27.63033162678735,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
2,False,"{'a': 0.75, 'e': 0.9925386444712003}",30,0,-272.7941505632943,"{0: 12, 1: 4, 2: 9, 3: 1, 4: 4}",0
3,False,"{'a': 0.75, 'e': 0.988828869676292}",30,0,-53.467542663493916,"{0: 25, 1: 1, 2: 2, 3: 1, 4: 1}",0
4,False,"{'a': 0.75, 'e': 0.9851329607687278}",25,0,-159.5328919649816,"{0: 11, 1: 3, 2: 9, 3: 1, 4: 1}",0
5,False,"{'a': 0.75, 'e': 0.9814508659224961}",20,0,-117.30897854033029,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
6,False,"{'a': 0.75, 'e': 0.9777825335052933}",20,0,-134.23396838553813,"{0: 9, 1: 3, 2: 5, 3: 2, 4: 1}",0
7,False,"{'a': 0.75, 'e': 0.9741279120778}",25,0,-166.49745488618498,"{0: 13, 1: 2, 2: 5, 3: 4, 4: 1}",1
8,False,"{'a': 0.75, 'e': 0.9704869503929597}",20,0,-68.43988743738353,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
9,False,"{'a': 0.75, 'e': 0.9668595973952602}",25,0,-104.87395188116697,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
10,False,"{'a': 0.75, 'e': 0.9632458022200172}",20,0,-132.4692725800349,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
11,False,"{'a': 0.75, 'e': 0.959645514192662}",20,0,-92.40874523344698,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
12,False,"{'a': 0.75, 'e': 0.9560586828280299}",25,10,-32.18233111730229,"{0: 9, 1: 2, 2: 4, 3: 0, 4: 0}",1
13,False,"{'a': 0.75, 'e': 0.9524852578296528}",30,0,-171.20185369750905,"{0: 18, 1: 4, 2: 5, 3: 0, 4: 3}",0
14,False,"{'a': 0.75, 'e': 0.948925189089054}",25,0,-168.25741621008328,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
15,False,"{'a': 0.75, 'e': 0.9453784266850452}",25,0,-201.78039900201247,"{0: 13, 1: 1, 2: 7, 3: 1, 4: 3}",0
16,False,"{'a': 0.75, 'e': 0.941844920883027}",30,0,-182.6199488203873,"{0: 19, 1: 0, 2: 7, 3: 1, 4: 3}",0
17,False,"{'a': 0.75, 'e': 0.9383246221342908}",30,0,-165.55815957716032,"{0: 18, 1: 1, 2: 7, 3: 2, 4: 2}",0
18,False,"{'a': 0.75, 'e': 0.9348174810753245}",25,0,-121.71602332174764,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
19,False,"{'a': 0.75, 'e': 0.9313234485271201}",30,0,-132.27495181572715,"{0: 16, 1: 7, 2: 5, 3: 1, 4: 1}",0
20,False,"{'a': 0.75, 'e': 0.9278424754944844}",25,0,-43.5190106764641,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
21,False,"{'a': 0.75, 'e': 0.9243745131653515}",25,0,-271.4087867857827,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 6}",0
22,False,"{'a': 0.75, 'e': 0.9209195129100984}",25,0,-62.3202644327125,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
23,False,"{'a': 0.75, 'e': 0.9174774262808636}",20,12,-16.714094296404987,"{0: 6, 1: 1, 2: 0, 3: 1, 4: 0}",1
24,False,"{'a': 0.75, 'e': 0.9140482050108671}",25,13,-41.19306639095501,"{0: 6, 1: 3, 2: 3, 3: 0, 4: 0}",1
25,False,"{'a': 0.75, 'e': 0.910631801013734}",25,0,-188.6946387459652,"{0: 11, 1: 6, 2: 3, 3: 3, 4: 2}",0
26,False,"{'a': 0.75, 'e': 0.9072281663828199}",25,0,-165.29134532627734,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
