trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-61.23534381795873,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-43.30567280190201,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-116.10681263966609,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-111.85424984096457,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-171.09486046271257,"{0: 23, 1: 1, 2: 2, 3: 0, 4: 4}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",35,0,-80.2343556220512,"{0: 27, 1: 0, 2: 7, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",35,6,-100.74537897312813,"{0: 21, 1: 2, 2: 4, 3: 0, 4: 2}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-117.4048757102722,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-142.15275408861268,"{0: 18, 1: 1, 2: 9, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-148.98489742353314,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 4}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",35,15,-65.21750212192362,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-51.279081603061464,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,0,-2.2305063803796825,"{0: 26, 1: 1, 2: 3, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-51.98638590030333,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,14,-105.7269170111475,"{0: 10, 1: 2, 2: 1, 3: 1, 4: 2}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-43.41719178163921,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,1,-18.738385289547196,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-42.87263443519139,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,9,-22.785974140080835,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,16,-6.331289380385381,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",30,0,-40.17988907262415,"{0: 25, 1: 0, 2: 4, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,5,24.371775987701923,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,0,-56.47728462787677,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",25,3,-61.98933256506778,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 2}",1
5,True,"{'a': 0, 'e': 0}",20,12,14.872278463596748,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,6,22.27608835267017,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,0,17.000662214738654,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,0,-88.68409750774993,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",20,7,10.009047685048712,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,7,-14.313090319519198,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
