trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.75, 'e': 0.9950195566196386}",25,0,-89.2009469555037,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 2}",0
2,False,"{'a': 0.75, 'e': 0.9900639180555422}",25,7,-44.98781544408415,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 0}",1
3,False,"{'a': 0.75, 'e': 0.9851329607687278}",25,0,-151.55420705291797,"{0: 10, 1: 3, 2: 11, 3: 0, 4: 1}",0
4,False,"{'a': 0.75, 'e': 0.9802265618354914}",20,6,-105.91245534988093,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 2}",1
5,False,"{'a': 0.75, 'e': 0.9753445989443434}",20,0,-106.64735084772758,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
6,False,"{'a': 0.75, 'e': 0.9704869503929598}",20,0,-92.78235400103581,"{0: 12, 1: 4, 2: 1, 3: 2, 4: 1}",0
7,False,"{'a': 0.75, 'e': 0.9656534950851481}",25,0,-103.16592977502773,"{0: 15, 1: 5, 2: 3, 3: 1, 4: 1}",0
8,False,"{'a': 0.75, 'e': 0.9608441125278284}",30,0,-126.52393318433265,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 2}",0
9,False,"{'a': 0.75, 'e': 0.95605868282803}",30,0,-81.06278307571031,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 1}",0
10,False,"{'a': 0.75, 'e': 0.9512970866899021}",25,0,-146.43084143328863,"{0: 12, 1: 2, 2: 9, 3: 1, 4: 1}",0
11,False,"{'a': 0.75, 'e': 0.9465592054117403}",20,10,-27.32243489000024,"{0: 6, 1: 0, 2: 4, 3: 0, 4: 0}",1
12,False,"{'a': 0.75, 'e': 0.9418449208830273}",25,0,-119.94283734507343,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
13,False,"{'a': 0.75, 'e': 0.9371541155814884}",20,0,-35.52381738841459,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
14,False,"{'a': 0.75, 'e': 0.9324866725701622}",20,0,-72.69675504094556,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
15,False,"{'a': 0.75, 'e': 0.9278424754944848}",30,0,-117.03684032440661,"{0: 18, 1: 1, 2: 9, 3: 2, 4: 0}",0
16,False,"{'a': 0.75, 'e': 0.9232214085793902}",30,0,-175.66616690475945,"{0: 17, 1: 4, 2: 6, 3: 0, 4: 3}",0
17,False,"{'a': 0.75, 'e': 0.918623356626423}",30,0,-136.639133356227,"{0: 22, 1: 1, 2: 4, 3: 0, 4: 3}",0
18,False,"{'a': 0.75, 'e': 0.9140482050108676}",20,0,-200.5278108238715,"{0: 8, 1: 1, 2: 8, 3: 0, 4: 3}",0
19,False,"{'a': 0.75, 'e': 0.90949583967889}",25,0,-28.701567295236593,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
20,False,"{'a': 0.75, 'e': 0.904966147144695}",25,0,-85.08485418401388,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
21,False,"{'a': 0.75, 'e': 0.900459014487697}",25,0,-163.6659560186638,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
22,False,"{'a': 0.75, 'e': 0.895974329349705}",30,0,-197.69617021275286,"{0: 20, 1: 0, 2: 6, 3: 0, 4: 4}",0
23,False,"{'a': 0.75, 'e': 0.8915119799321215}",20,0,-91.57249481113222,"{0: 9, 1: 3, 2: 7, 3: 1, 4: 0}",0
24,False,"{'a': 0.75, 'e': 0.8870718549931557}",20,0,-68.9304182808953,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
25,False,"{'a': 0.75, 'e': 0.8826538438450501}",30,0,-164.5711575875817,"{0: 16, 1: 3, 2: 7, 3: 3, 4: 1}",0
26,False,"{'a': 0.75, 'e': 0.8782578363513215}",20,0,-123.57860126242106,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
27,False,"{'a': 0.75, 'e': 0.8738837229240151}",35,0,-58.246083380750164,"{0: 26, 1: 3, 2: 5, 3: 1, 4: 0}",0
28,False,"{'a': 0.75, 'e': 0.8695313945209726}",25,0,-157.3257055672296,"{0: 14, 1: 0, 2: 9, 3: 0, 4: 2}",0
29,False,"{'a': 0.75, 'e': 0.8652007426431142}",30,0,-77.63149320844018,"{0: 23, 1: 1, 2: 4, 3: 1, 4: 1}",0
30,False,"{'a': 0.75, 'e': 0.8608916593317335}",25,7,-33.60354815544318,"{0: 14, 1: 3, 2: 0, 3: 0, 4: 1}",1
31,False,"{'a': 0.75, 'e': 0.8566040371658065}",25,0,-25.917439614153885,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
32,False,"{'a': 0.75, 'e': 0.8523377692593131}",25,14,-50.462218252809826,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 1}",1
33,False,"{'a': 0.75, 'e': 0.8480927492585736}",20,0,-54.73954257832732,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
34,False,"{'a': 0.75, 'e': 0.8438688713395962}",25,0,-17.128237873074863,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
35,False,"{'a': 0.75, 'e': 0.8396660302054398}",25,0,-106.72957682838786,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
36,False,"{'a': 0.75, 'e': 0.8354841210835888}",25,0,-79.59893884120189,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
37,False,"{'a': 0.75, 'e': 0.831323039723341}",30,0,-47.93103837289726,"{0: 26, 1: 0, 2: 2, 3: 1, 4: 1}",0
38,False,"{'a': 0.75, 'e': 0.8271826823932089}",30,0,-132.41924037556245,"{0: 21, 1: 3, 2: 2, 3: 2, 4: 2}",0
39,False,"{'a': 0.75, 'e': 0.8230629458783341}",20,0,-51.90484551117604,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
40,False,"{'a': 0.75, 'e': 0.8189637274779136}",25,0,-58.5094494268508,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
41,False,"{'a': 0.75, 'e': 0.8148849250026401}",20,0,-83.99621598068413,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
42,False,"{'a': 0.75, 'e': 0.8108264367721544}",25,0,-107.77136025150887,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
43,False,"{'a': 0.75, 'e': 0.8067881616125104}",30,13,-13.093753045334566,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 0}",1
44,False,"{'a': 0.75, 'e': 0.8027699988536534}",30,0,-155.79650993493146,"{0: 16, 1: 6, 2: 4, 3: 3, 4: 1}",0
45,False,"{'a': 0.75, 'e': 0.79877184832691}",25,0,-121.61358559630123,"{0: 12, 1: 5, 2: 5, 3: 3, 4: 0}",0
46,False,"{'a': 0.75, 'e': 0.7947936103624912}",25,0,-71.37868959862502,"{0: 18, 1: 4, 2: 1, 3: 1, 4: 1}",0
47,False,"{'a': 0.75, 'e': 0.7908351857870077}",20,11,-19.923192971681456,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
48,False,"{'a': 0.75, 'e': 0.786896475920998}",25,0,-132.36990351825264,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",1
49,False,"{'a': 0.75, 'e': 0.7829773825764675}",30,0,-73.80190276675911,"{0: 20, 1: 3, 2: 5, 3: 2, 4: 0}",0
50,False,"{'a': 0.75, 'e': 0.7790778080544418}",25,0,-136.7971338361269,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
51,False,"{'a': 0.75, 'e': 0.7751976551425306}",25,0,-111.41275274378289,"{0: 17, 1: 1, 2: 3, 3: 3, 4: 1}",0
52,False,"{'a': 0.75, 'e': 0.7713368271125043}",25,12,-69.19525636540408,"{0: 8, 1: 1, 2: 2, 3: 1, 4: 1}",1
53,False,"{'a': 0.75, 'e': 0.7674952277178828}",25,0,-117.78485172508019,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
54,False,"{'a': 0.75, 'e': 0.7636727611915363}",30,0,-85.2791785967686,"{0: 21, 1: 0, 2: 8, 3: 0, 4: 1}",0
55,False,"{'a': 0.75, 'e': 0.7598693322432976}",20,0,2.0990621072545266,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
56,False,"{'a': 0.75, 'e': 0.7560848460575867}",20,0,-61.334238008226535,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
57,False,"{'a': 0.75, 'e': 0.7523192082910477}",20,14,1.6816477835158326,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
58,False,"{'a': 0.75, 'e': 0.7485723250701958}",20,0,-77.69842131687525,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",0
59,False,"{'a': 0.75, 'e': 0.7448441029890782}",25,0,-209.38251808995662,"{0: 12, 1: 3, 2: 5, 3: 2, 4: 3}",0
60,False,"{'a': 0.75, 'e': 0.741134449106945}",25,8,-27.027460162278444,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 0}",1
61,False,"{'a': 0.75, 'e': 0.7374432709459325}",20,0,-107.04823737148601,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
62,False,"{'a': 0.75, 'e': 0.7337704764887578}",30,0,-118.7381300449777,"{0: 19, 1: 4, 2: 4, 3: 2, 4: 1}",0
63,False,"{'a': 0.75, 'e': 0.7301159741764247}",20,0,-12.671035647839965,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
64,False,"{'a': 0.75, 'e': 0.7264796729059416}",25,0,-78.33318978135222,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
65,False,"{'a': 0.75, 'e': 0.7228614820280501}",20,1,-52.67656500044667,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 1}",1
66,False,"{'a': 0.75, 'e': 0.7192613113449653}",25,0,-83.12222653221842,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 2}",0
67,False,"{'a': 0.75, 'e': 0.7156790711081272}",20,0,-59.871496004943126,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
68,False,"{'a': 0.75, 'e': 0.7121146720159636}",20,0,-76.34255477903756,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
69,False,"{'a': 0.75, 'e': 0.7085680252116634}",30,5,-78.7140711954585,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",1
70,False,"{'a': 0.75, 'e': 0.7050390422809623}",20,0,-99.77087071172065,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
71,False,"{'a': 0.75, 'e': 0.7015276352499377}",20,1,-96.70294993977878,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 2}",1
72,False,"{'a': 0.75, 'e': 0.6980337165828165}",20,0,-71.5482308321333,"{0: 13, 1: 0, 2: 5, 3: 2, 4: 0}",0
73,False,"{'a': 0.75, 'e': 0.6945571991797925}",20,0,-10.870177165987581,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
74,False,"{'a': 0.75, 'e': 0.6910979963748551}",25,8,-67.10002986368134,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 1}",1
75,False,"{'a': 0.75, 'e': 0.687656021933629}",20,0,-38.59626734782367,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
76,False,"{'a': 0.75, 'e': 0.6842311900512239}",25,0,-106.5680989255252,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
77,False,"{'a': 0.75, 'e': 0.6808234153500965}",20,0,-30.583913564782897,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
78,False,"{'a': 0.75, 'e': 0.6774326128779211}",20,0,-53.13728120959108,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
79,False,"{'a': 0.75, 'e': 0.6740586981054724}",25,15,-12.394370392158283,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
80,False,"{'a': 0.75, 'e': 0.670701586924518}",25,0,10.47123475088027,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",1
81,False,"{'a': 0.75, 'e': 0.6673611956457218}",30,0,-245.78429738911723,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 5}",0
82,False,"{'a': 0.75, 'e': 0.664037440996558}",25,0,-106.24218105416048,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
83,False,"{'a': 0.75, 'e': 0.6607302401192346}",25,0,-82.48980357256252,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 2}",0
84,False,"{'a': 0.75, 'e': 0.6574395105686281}",20,0,-74.57782402993469,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
85,False,"{'a': 0.75, 'e': 0.6541651703102286}",20,0,-60.81554458354744,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
86,False,"{'a': 0.75, 'e': 0.650907137718094}",20,0,-10.751385214408389,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",1
