trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-85.50141382492377,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-212.96769994009702,"{0: 16, 1: 2, 2: 8, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-260.40608881725575,"{0: 14, 1: 2, 2: 9, 3: 1, 4: 4}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-67.36311263866338,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-34.299912216826385,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-89.49451182238192,"{0: 17, 1: 0, 2: 7, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-123.02256869376463,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-83.72037443685366,"{0: 14, 1: 3, 2: 7, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-51.55142250038761,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-190.44132567529834,"{0: 10, 1: 1, 2: 4, 3: 2, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-108.72667521263058,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-196.63795328843887,"{0: 12, 1: 0, 2: 8, 3: 3, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-34.25509331655198,"{0: 14, 1: 4, 2: 1, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-71.71067223250316,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-101.63847163027484,"{0: 18, 1: 2, 2: 9, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-95.00814631544786,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-85.02219264911608,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-273.8157558934786,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 5}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,3,-85.00522130249475,"{0: 18, 1: 0, 2: 7, 3: 2, 4: 0}",1
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-60.82714239757159,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-57.60003082512759,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-54.49845441731356,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",35,11,-104.3713385291262,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 1}",1
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-195.93427695508532,"{0: 12, 1: 2, 2: 8, 3: 0, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-160.11566692732424,"{0: 19, 1: 1, 2: 7, 3: 1, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-167.7644227270643,"{0: 15, 1: 0, 2: 6, 3: 2, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-168.27383973831775,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-119.57590250919819,"{0: 13, 1: 2, 2: 1, 3: 2, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-31.97683526660821,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-129.29403282695822,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",0
